path,extension,size_bytes
pipelines\notebooks\test_storage_utils.ipynb,.ipynb,7211
pipelines\tasks\build_database.py,.py,4028
pipelines\tasks\download_database.py,.py,4218
pipelines\tasks\download_pmtiles.py,.py,3114
pipelines\tasks\generate_pmtiles.py,.py,1278
pipelines\tasks\generate_pmtiles_legacy.py,.py,2412
pipelines\tasks\trim_database_for_website.py,.py,4694
pipelines\tasks\upload_database.py,.py,1116
pipelines\tasks\__init__.py,.py,55
pipelines\tasks\client\commune_client.py,.py,1232
pipelines\tasks\client\datagouv_client.py,.py,13284
pipelines\tasks\client\geojson_processor.py,.py,4126
pipelines\tasks\client\opendatasoft_client.py,.py,1259
pipelines\tasks\client\pmtiles_client.py,.py,10769
pipelines\tasks\client\pmtiles_processor.py,.py,2448
pipelines\tasks\client\uploaded_geojson_client.py,.py,2745
pipelines\tasks\client\core\duckdb_client.py,.py,4652
pipelines\tasks\client\core\https_client.py,.py,1143
pipelines\tasks\client\core\https_to_duck_client.py,.py,993
pipelines\tasks\config\common.py,.py,2384
pipelines\tasks\config\config_edc.py,.py,3458
pipelines\tasks\config\config_geojson.py,.py,1522
pipelines\tasks\config\config_insee.py,.py,420
pipelines\tasks\config\config_pmtiles.py,.py,1229
pipelines\tasks\config\config_uploaded_geojson.py,.py,3277
pipelines\utils\logger.py,.py,278
pipelines\utils\storage_client.py,.py,5099
pipelines\utils\utils.py,.py,1335
pipelines\utils\__init__.py,.py,55
results\http_references_history.csv,.csv,6244
webapp\.prettierrc.json,.json,4
webapp\components.json,.json,466
webapp\package-lock.json,.json,291871
webapp\package.json,.json,1514
webapp\tsconfig.json,.json,625
webapp\app\lib\data.ts,.ts,3906
webapp\app\lib\mock-data.ts,.ts,16737
