Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
4bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.519,0.0535243034362793,18.653,380579.469,2984.872,pytorch,float16,BnB.4bit,Eager,No Kernel,Phi3ForCausalLM,3.899,25.97,3
4bit-awq-gemm-eager,microsoft/Phi-3-mini-4k-instruct,0.223,0.0408124332427978,24.443,530788.272,2589.101,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Phi3ForCausalLM,2.801,25.97,3
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.112,0.0368136005401611,27.025,525313.012,7924.275,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.442,25.97,3
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,0.703,0.0367206382751464,27.159,523070.356,7924.275,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,3.023,25.97,3
4bit-gptq-exllama-v2-eager,microsoft/Phi-3-mini-4k-instruct,0.12,0.0349764804840087,28.539,614602.889,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Phi3ForCausalLM,2.328,25.97,3
4bit-awq-gemv-eager,microsoft/Phi-3-mini-4k-instruct,0.218,0.0347830562591552,28.565,583495.271,2589.101,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Phi3ForCausalLM,2.424,25.97,3
4bit-awq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,1.719,0.0343621444702148,29.0,597058.673,2569.852,pytorch,float16,AWQ.4bit,Eager,No Kernel,Phi3ForCausalLM,3.891,25.97,3
4bit-gptq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.12,0.0336409111022949,29.673,616350.878,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Phi3ForCausalLM,2.243,25.97,3
8bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.13,0.1286847839355469,7.758,168564.292,9177.326,pytorch,float16,BnB.8bit,Eager,No Kernel,LlamaForCausalLM,8.243,23.91,8
8bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.126,0.1241357917785644,8.053,175620.072,9177.194,pytorch,float16,BnB.8bit,SDPA,No Kernel,LlamaForCausalLM,7.965,23.91,8
4bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,1.039,0.0797622566223144,12.519,241584.467,6470.131,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,6.075,23.91,8
4bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,1.037,0.0789531211853027,12.625,243063.509,6470.0,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,6.017,23.91,8
4bit-awq-gemm-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.405,0.0448032798767089,22.275,429300.971,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,3.235,23.91,8
4bit-awq-gemm-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.417,0.0422138080596923,23.622,468978.761,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,3.087,23.91,8
4bit-awq-gemv-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.375,0.0364229125976562,27.371,524387.231,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,LlamaForCausalLM,2.676,23.91,8
4bit-awq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.22,0.034959903717041,28.549,559004.763,5922.266,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,2.427,23.91,8
4bit-awq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,3.252,0.0348345928192138,28.633,549145.514,5800.631,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,5.452,23.91,8
4bit-gptq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.208,0.0342131843566894,29.144,556185.381,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,2.367,23.91,8
4bit-gptq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.207,0.0337601928710937,29.535,571080.294,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,2.341,23.91,8
4bit-awq-gemv-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.369,0.0314203033447265,31.672,600754.902,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,LlamaForCausalLM,2.358,23.91,8
4bit-gptq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.2,0.0304142560958862,32.776,640613.195,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,2.124,23.91,8
4bit-awq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,3.237,0.0299312486648559,33.247,633503.77,5800.5,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,5.132,23.91,8
4bit-gptq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.201,0.02990718460083,33.322,644133.891,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,2.091,23.91,8
4bit-awq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.213,0.0298076162338256,33.461,645543.784,5922.135,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,2.099,23.91,8
8bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.13,0.1286847839355469,7.758,168564.292,9177.326,pytorch,float16,BnB.8bit,Eager,No Kernel,LlamaForCausalLM,8.243,20.48,8
8bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.126,0.1241357917785644,8.053,175620.072,9177.194,pytorch,float16,BnB.8bit,SDPA,No Kernel,LlamaForCausalLM,7.965,20.48,8
4bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,1.039,0.0797622566223144,12.519,241584.467,6470.131,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,6.075,20.48,8
4bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,1.037,0.0789531211853027,12.625,243063.509,6470.0,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,6.017,20.48,8
4bit-awq-gemm-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.405,0.0448032798767089,22.275,429300.971,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,3.235,20.48,8
4bit-awq-gemm-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.417,0.0422138080596923,23.622,468978.761,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,3.087,20.48,8
4bit-awq-gemv-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.375,0.0364229125976562,27.371,524387.231,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,LlamaForCausalLM,2.676,20.48,8
4bit-awq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.22,0.034959903717041,28.549,559004.763,5922.266,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,2.427,20.48,8
4bit-awq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,3.252,0.0348345928192138,28.633,549145.514,5800.631,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,5.452,20.48,8
4bit-gptq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.208,0.0342131843566894,29.144,556185.381,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,2.367,20.48,8
4bit-gptq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.207,0.0337601928710937,29.535,571080.294,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,2.341,20.48,8
4bit-awq-gemv-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.369,0.0314203033447265,31.672,600754.902,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,LlamaForCausalLM,2.358,20.48,8
4bit-gptq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.2,0.0304142560958862,32.776,640613.195,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,2.124,20.48,8
4bit-awq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,3.237,0.0299312486648559,33.247,633503.77,5800.5,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,5.132,20.48,8
4bit-gptq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.201,0.02990718460083,33.322,644133.891,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,2.091,20.48,8
4bit-awq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.213,0.0298076162338256,33.461,645543.784,5922.135,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,2.099,20.48,8
4bit-bnb-eager,Qwen/Qwen1.5-14B,1.913,0.1495091476440429,6.687,128624.589,11624.262,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,11.342,20.22,14
4bit-bnb-sdpa,Qwen/Qwen1.5-14B,1.901,0.1485762557983398,6.722,129486.754,11624.131,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,11.284,20.22,14
4bit-bnb-eager,Qwen/Qwen1.5-14B,1.79,0.1397937469482421,7.14,137463.986,11624.264,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,10.617,20.22,14
4bit-bnb-sdpa,Qwen/Qwen1.5-14B,1.778,0.1389737396240234,7.182,138360.137,11624.133,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,10.555,20.22,14
4bit-awq-gemm-eager,Qwen/Qwen1.5-14B,0.807,0.0588963527679443,16.929,328440.746,10922.855,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,4.529,20.22,14
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-14B,0.794,0.0566949272155761,17.608,339241.438,10923.772,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,4.374,20.22,14
4bit-awq-gemv-eager,Qwen/Qwen1.5-14B,0.731,0.0540986080169677,18.449,354352.686,10923.367,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Qwen2ForCausalLM,4.148,20.22,14
4bit-awq-gemv-sdpa,Qwen/Qwen1.5-14B,0.719,0.0535106868743896,18.648,358948.012,10924.284,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,Qwen2ForCausalLM,4.096,20.22,14
4bit-awq-exllama-v1-eager,Qwen/Qwen1.5-14B,5.821,0.0467855358123779,21.361,410489.364,10924.362,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,8.769,20.22,14
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-14B,0.388,0.0466583194732666,21.419,412483.745,11070.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,3.33,20.22,14
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-14B,0.387,0.0465852642059326,21.432,412408.209,11070.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,3.325,20.22,14
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-14B,0.383,0.0463137741088867,21.566,415573.505,11070.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,3.305,20.22,14
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-14B,0.383,0.0460817756652832,21.663,416112.985,11070.473,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,3.289,20.22,14
4bit-awq-exllama-v1-sdpa,Qwen/Qwen1.5-14B,5.804,0.0461345443725585,21.67,417424.477,10924.362,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,8.712,20.22,14
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-14B,0.378,0.0459714241027832,21.734,388122.951,11070.473,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,3.279,20.22,14
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-14B,0.377,0.0459193439483642,21.759,390194.721,11070.473,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,3.273,20.22,14
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-14B,0.373,0.0456684303283691,21.892,420772.172,11070.473,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,3.252,20.22,14
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-14B,0.373,0.0456529598236084,21.904,420808.288,11070.473,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,3.249,20.22,14
4bit-awq-exllama-v2-eager,Qwen/Qwen1.5-14B,0.411,0.0425453910827636,23.484,453162.497,11070.311,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,3.096,20.22,14
4bit-awq-exllama-v2-sdpa,Qwen/Qwen1.5-14B,0.398,0.0411521587371826,24.28,467506.149,11070.311,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,2.994,20.22,14
8bit-bnb-eager,google/gemma-7b,0.145,0.1123849906921386,8.869,187639.917,9856.31,pytorch,float16,BnB.8bit,Eager,No Kernel,GemmaForCausalLM,7.243,15.28,8
8bit-bnb-sdpa,google/gemma-7b,0.142,0.1089374732971191,9.162,192614.93,9856.31,pytorch,float16,BnB.8bit,SDPA,No Kernel,GemmaForCausalLM,7.02,15.28,8
4bit-bnb-eager,google/gemma-7b,1.148,0.0912372665405273,10.928,209237.498,6575.186,pytorch,float16,BnB.4bit,Eager,No Kernel,GemmaForCausalLM,6.913,15.28,8
4bit-bnb-sdpa,google/gemma-7b,1.146,0.0912282905578613,10.931,209958.188,6575.055,pytorch,float16,BnB.4bit,SDPA,No Kernel,GemmaForCausalLM,6.907,15.28,8
4bit-awq-gemm-eager,google/gemma-7b,0.517,0.0485737285614013,20.514,330407.676,5890.1,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,GemmaForCausalLM,3.581,15.28,8
4bit-awq-exllama-v1-eager,google/gemma-7b,3.633,0.0477713451385498,20.87,505116.555,5803.199,pytorch,float16,AWQ.4bit,Eager,No Kernel,GemmaForCausalLM,6.648,15.28,8
4bit-awq-gemv-sdpa,google/gemma-7b,0.453,0.045474401473999,21.938,527658.248,5889.969,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,GemmaForCausalLM,3.326,15.28,8
4bit-awq-gemm-sdpa,google/gemma-7b,0.525,0.045067232131958,22.148,430314.1,5889.969,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,GemmaForCausalLM,3.365,15.28,8
4bit-awq-exllama-v1-sdpa,google/gemma-7b,3.618,0.0437689590454101,24.719,548487.417,5803.068,pytorch,float16,AWQ.4bit,SDPA,No Kernel,GemmaForCausalLM,6.383,15.28,8
4bit-gptq-exllama-v2-eager,google/gemma-7b,0.23,0.0389849777221679,25.565,498065.831,5959.126,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,GemmaForCausalLM,2.69,15.28,8
4bit-awq-exllama-v2-eager,google/gemma-7b,0.243,0.0389342403411865,25.609,497482.597,5960.485,pytorch,float16,AWQ.4bit,Eager,No Kernel,GemmaForCausalLM,2.702,15.28,8
4bit-gptq-exllama-v1-eager,google/gemma-7b,0.23,0.0386348972320556,25.8,498224.155,5959.126,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,GemmaForCausalLM,2.67,15.28,8
4bit-awq-gemv-eager,google/gemma-7b,0.45,0.038428991317749,25.868,502720.523,5890.1,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,GemmaForCausalLM,2.876,15.28,8
4bit-awq-exllama-v2-sdpa,google/gemma-7b,0.242,0.0354269752502441,27.725,548694.333,5960.354,pytorch,float16,AWQ.4bit,SDPA,No Kernel,GemmaForCausalLM,2.482,15.28,8
4bit-gptq-exllama-v2-sdpa,google/gemma-7b,0.228,0.0348696479797363,28.605,558149.103,5958.34,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,GemmaForCausalLM,2.43,15.28,8
4bit-gptq-exllama-v1-sdpa,google/gemma-7b,0.228,0.0343046550750732,29.035,558595.377,5958.34,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,GemmaForCausalLM,2.394,15.28,8
8bit-bnb-eager,Qwen/Qwen1.5-7B,0.133,0.1268396797180175,7.87,164592.784,9989.956,pytorch,float16,BnB.8bit,Eager,No Kernel,Qwen2ForCausalLM,8.135,15.22,7
8bit-bnb-eager,Qwen/Qwen1.5-7B,0.131,0.1243857765197753,8.041,173886.738,9989.958,pytorch,float16,BnB.8bit,Eager,No Kernel,Qwen2ForCausalLM,7.977,15.22,7
8bit-bnb-sdpa,Qwen/Qwen1.5-7B,0.126,0.1204822082519531,8.284,173815.121,9989.956,pytorch,float16,BnB.8bit,SDPA,No Kernel,Qwen2ForCausalLM,7.728,15.22,7
8bit-bnb-sdpa,Qwen/Qwen1.5-7B,0.124,0.1193461456298828,8.366,182133.402,9989.958,pytorch,float16,BnB.8bit,SDPA,No Kernel,Qwen2ForCausalLM,7.665,15.22,7
4bit-bnb-eager,Qwen/Qwen1.5-7B,1.067,0.0811601943969726,12.278,234750.525,7161.537,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,6.201,15.22,7
4bit-bnb-sdpa,Qwen/Qwen1.5-7B,1.065,0.0809465751647949,12.302,236063.197,7161.406,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,6.188,15.22,7
4bit-bnb-eager,Qwen/Qwen1.5-7B,1.0,0.076786334991455,12.987,249304.756,7161.539,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,5.856,15.22,7
4bit-bnb-sdpa,Qwen/Qwen1.5-7B,0.994,0.0763554077148437,13.068,251414.841,7161.408,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,5.817,15.22,7
bfloat16-sdpa,Qwen/Qwen1.5-7B,1.228,0.0636774559020996,15.697,303062.935,15627.385,pytorch,bfloat16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,5.242,15.22,7
bfloat16-eager,Qwen/Qwen1.5-7B,1.232,0.0635617275238037,15.725,303250.549,15627.418,pytorch,bfloat16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,5.239,15.22,7
float16-sdpa,Qwen/Qwen1.5-7B,0.196,0.0628325119018554,15.887,306249.792,15627.385,pytorch,float16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,4.163,15.22,7
float16-eager,Qwen/Qwen1.5-7B,0.202,0.0628092803955078,15.91,306481.08,15627.418,pytorch,float16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,4.162,15.22,7
4bit-awq-gemm-eager,Qwen/Qwen1.5-7B,0.426,0.046964672088623,21.243,409229.28,6822.669,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,3.392,15.22,7
4bit-awq-gemm-eager,Qwen/Qwen1.5-7B,0.385,0.0462135829925537,21.623,421314.851,6822.667,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,3.302,15.22,7
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-7B,0.417,0.0424932804107666,23.466,449744.063,6822.669,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,3.101,15.22,7
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-7B,0.403,0.0420976486206054,23.726,453288.011,6822.667,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,3.053,15.22,7
4bit-awq-gemv-eager,Qwen/Qwen1.5-7B,0.375,0.0371220645904541,26.856,520763.041,6823.324,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Qwen2ForCausalLM,2.72,15.22,7
4bit-awq-gemv-eager,Qwen/Qwen1.5-7B,0.366,0.0360599365234375,27.708,535543.401,6823.322,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Qwen2ForCausalLM,2.643,15.22,7
4bit-awq-exllama-v2-eager,Qwen/Qwen1.5-7B,0.228,0.0352389125823974,28.286,548068.888,6915.141,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,2.456,15.22,7
4bit-awq-exllama-v1-eager,Qwen/Qwen1.5-7B,3.148,0.0348437747955322,28.604,550213.363,6822.145,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,5.35,15.22,7
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-7B,0.207,0.0348294715881347,28.639,561294.62,6917.402,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,2.407,15.22,7
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-7B,0.208,0.0346819686889648,28.758,555160.574,6917.402,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,2.396,15.22,7
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-7B,0.207,0.0345583343505859,28.81,553467.703,6917.402,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,2.39,15.22,7
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-7B,0.209,0.0345040473937988,28.895,558616.028,6917.402,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,2.388,15.22,7
4bit-awq-exllama-v2-eager,Qwen/Qwen1.5-7B,0.224,0.0340998229980468,29.26,570252.901,6915.139,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,2.377,15.22,7
4bit-awq-exllama-v1-eager,Qwen/Qwen1.5-7B,2.905,0.0340130882263183,29.432,565955.851,6822.142,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,5.048,15.22,7
4bit-awq-gemv-sdpa,Qwen/Qwen1.5-7B,0.36,0.0323354892730712,30.832,604412.032,6823.322,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,Qwen2ForCausalLM,2.402,15.22,7
4bit-awq-gemv-sdpa,Qwen/Qwen1.5-7B,0.371,0.0322222080230712,30.842,595352.713,6823.324,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,Qwen2ForCausalLM,2.414,15.22,7
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-7B,0.201,0.0310246400833129,32.171,632627.688,6917.402,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,2.157,15.22,7
4bit-awq-exllama-v2-sdpa,Qwen/Qwen1.5-7B,0.221,0.0302257595062255,32.925,639484.611,6915.139,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,2.13,15.22,7
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-7B,0.2,0.0301387672424316,33.053,638968.385,6917.402,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,2.104,15.22,7
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-7B,0.201,0.0299312963485717,33.28,645370.139,6917.402,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,2.09,15.22,7
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-7B,0.2,0.029800064086914,33.367,643943.444,6917.402,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,2.086,15.22,7
4bit-awq-exllama-v1-sdpa,Qwen/Qwen1.5-7B,2.934,0.0294648485183715,33.786,639557.071,6822.142,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,4.793,15.22,7
4bit-gptq-exllama-v1-eager,Deci/DeciLM-7B,0.785,0.7426236572265625,1.347,25988.179,4514.272,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,DeciLMForCausalLM,47.578,14.95,7
