"repo","message","label"
"offseason-shelter-for-science","Fix foreign keys nullability","fix"
"offseason-shelter-for-science","Add rescues and rescuers tables","other"
"offseason-shelter-for-science","Add missing fields and descriptions","other"
"offseason-shelter-for-science","Initial update rescues route","feat"
"offseason-shelter-for-science","Change error detail when no upsert happens","fix"
"offseason-shelter-for-science","Add rescues in error in the response","feat"
"offseason-shelter-for-science","Manage exceptions","fix"
"offseason-shelter-for-science","Connect the dispatcher to the DB to update rescues","other"
"offseason-shelter-for-science","[DEPS][DEV] Modified dispatcher and priorizer for accessing rescue-api locally in dev mode","chore"
"offseason-shelter-for-science","[DOCKER][DEV] Fix Dockerfiles for dispatcher and priorizer","ci"
"offseason-shelter-for-science","[DEPS] rescue_db directory moved to its own repository","chore"
"offseason-shelter-for-science","[DEPS] Updated priorizer to rely on rescue_api package","chore"
"offseason-shelter-for-science","rewrite app-specific README.md for project description","other"
"offseason-shelter-for-science","rewrite main README.md for project description","other"
"offseason-shelter-for-science","add project license and Github issue template","other"
"offseason-shelter-for-science","[DB] mvp_downloader_library table : added created_at, updated_at","other"
"offseason-shelter-for-science","First iteration of the downloader library table for MVP","other"
"offseason-shelter-for-science","[ANALYSIS] Most used / Quick win rescue list analysis","other"
"offseason-shelter-for-science","[DB] Added SQL scripts to fill asset_resource table","other"
"offseason-shelter-for-science","[DEPLOY] fix dispatcher workflow","other"
"offseason-shelter-for-science","[DEPLOY] fix docker login action","other"
"offseason-shelter-for-science","[FEAT] Added docker stuff for priorizer","feat"
"offseason-shelter-for-science","Drop duplicates among assets","other"
"offseason-shelter-for-science","Change assets and resources relationship to many-to-many","other"
"offseason-shelter-for-science","[FEAT] re add former WebDirectorySpider","feat"
"offseason-shelter-for-science","add last scraping file","feat"
"offseason-shelter-for-science","[MINOR] minor changes","chore"
"offseason-shelter-for-science","Delete previous test files datagov/main.py datagov/pipelines.py","other"
"offseason-shelter-for-science","[FORMAT] black and minor changes","chore"
"offseason-shelter-for-science","Implementation of cache with Redis to exclude the possibility of processing links more than once","feat"
"offseason-shelter-for-science","Configuration of a generic scrapping that retrieves all downloadable links","feat"
"offseason-shelter-for-science","ADD dispatcher docker","ci"
"offseason-shelter-for-science","Dispatcher Mockup api","feat"
"offseason-shelter-for-science","[FEAT] Added harvest source tables and data script","other"
"offseason-shelter-for-science","ADD dispatcher api","feat"
"offseason-shelter-for-science","[BLACK] (#19_insert_assets)","chore"
"offseason-shelter-for-science","[FEAT] Web directory scraper with scrapy","feat"
"offseason-shelter-for-science","[FEAT] Distinguish tar.Z resources","feat"
"offseason-shelter-for-science","[DB + FEAT] Dataset rankings","other"
"offseason-shelter-for-science","feat: set base archi for backend","feat"
"offseason-shelter-for-science","[FIX] NOCODB API request","fix"
"offseason-shelter-for-science","feat: add process status and use csv lib","feat"
"offseason-shelter-for-science","[FEAT] tabular files from data.gov metadata","feat"
"offseason-shelter-for-science","feat: add script to fetch head info from url","feat"
"offseason-shelter-for-science","[DB] updated mapping.json","other"
"offseason-shelter-for-science","[FEAT] added unit tests for resources","other"
"offseason-shelter-for-science","feat: add offset for list records","feat"
"offseason-shelter-for-science","feat: retriever can take several orgs","feat"
"offseason-shelter-for-science","Initial commit","other"
"13_potentiel_solaire","hotfix: react CVE-2025-55184 / CVE-2025-67779","fix"
"13_potentiel_solaire","Hotfix/web 380 CVE next","fix"
"13_potentiel_solaire","Update footer link to open data set","other"
"13_potentiel_solaire","[FRONT] Fix methodology typos, add map attributions and dataset link","other"
"13_potentiel_solaire","fix: content mentions légales","other"
"13_potentiel_solaire","fix: content methodologie","other"
"13_potentiel_solaire","[FRONT] Reset isOpen on footer after redirection","fix"
"13_potentiel_solaire","feature/web-159: page mentions legale","feat"
"13_potentiel_solaire","[FRONT] Add escape function to Popup and Fiches","feat"
"13_potentiel_solaire","Fix broken url to idf dataset","fix"
"13_potentiel_solaire","feat: Create Popup for contact to mairie email content","feat"
"13_potentiel_solaire","feature: add mail subject and content","feat"
"13_potentiel_solaire","fix: remove text typo","fix"
"13_potentiel_solaire","feature: update readme","other"
"13_potentiel_solaire","feature: update content + add ContacterMairie component","feat"
"13_potentiel_solaire","feature: extract comment agir particulier content","feat"
"13_potentiel_solaire","feature: add contact-mairie api","feat"
"13_potentiel_solaire","web: include analytics only on prod host","ci"
"13_potentiel_solaire","ci: add runtime env for docker image using github variables","ci"
"13_potentiel_solaire","update db with contacts urls corrected","other"
"13_potentiel_solaire","init revision to correct bad contacts urls","other"
"13_potentiel_solaire","chore: fix aria attibute for accessibiity","chore"
"13_potentiel_solaire","feature: add google analytics and google tag manager scripts","feat"
"13_potentiel_solaire","Revert ""Feature/web 309 sitemap robots""","chore"
"13_potentiel_solaire","annuaire administration: fix SQL to work within f-string","fix"
"13_potentiel_solaire","add source for annuaire administration","other"
"13_potentiel_solaire","fix: add missing heading level","fix"
"13_potentiel_solaire","fix: update hover focus style of map buttons","fix"
"13_potentiel_solaire","fix: fiche animation showed scroll bars","fix"
"13_potentiel_solaire","feat: (a11y) add skip links to main content and footer","feat"
"13_potentiel_solaire","feature: add button comment agir when cta are not visible","feat"
"13_potentiel_solaire","[FRONT] Fix print feature for mobile","fix"
"13_potentiel_solaire","fix: update last component","fix"
"13_potentiel_solaire","feature: add seuils by type etablissement","feat"
"13_potentiel_solaire","[FRONT] Add print function","feat"
"13_brigade_coupes_rases","Enforce name presence in the department model","other"
"13_brigade_coupes_rases","Run precommit locally","other"
"13_brigade_coupes_rases","Remove breaking code","other"
"13_brigade_coupes_rases","Update README.md","other"
"13_brigade_coupes_rases","Merge commit '64de34f0cb4e46fd53c847fdc518e3fcda82b363'","other"
"13_brigade_coupes_rases","Update dependencies","other"
"13_brigade_coupes_rases","Make distinct poetry configurayions for backend and analytics","other"
"13_brigade_coupes_rases","Terminate commented code. Commented code is dead code","other"
"13_brigade_coupes_rases","Change github actions default directory to backend","other"
"13_brigade_coupes_rases","Move backend content to backend dir to comply with Clever Cloud requirements","other"
"13_brigade_coupes_rases","Merge pull request #54 from dataforgoodfr/frontend/deployment","other"
"13_brigade_coupes_rases","Replace image with a mermaid diagram, so there is no doubt about license","other"
"13_brigade_coupes_rases","Remove Tox, which has no interest for this project","other"
"13_brigade_coupes_rases","Install dev dependencies before trying to use Alembic","other"
"13_brigade_coupes_rases","Install dev dependencies before running the dev server","other"
"13_brigade_coupes_rases","Update the readme for backend","other"
